Year,Month,Period,Data Value,Status,Units,Subject,Group,Series
2000,Mar,2000.03,9.737850832,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population 20 Years and Over for Total Alcohol
2000,Sep,2000.09,9.863629,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population 20 Years and Over for Total Alcohol
2000,Jun,2000.06,6.889413,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population for Total Alcohol
2000,Dec,2000.12,6.870984,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population for Total Alcohol
2000,Mar,2000.03,6.811905173,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population for Total Alcohol
2000,Sep,2000.09,6.903328,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol Per Head of Population - by alcohol type,Total N.Z. Population for Total Alcohol
2000,Dec,2000.12,0.00005,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Beer containing not more than 1.150% alcohol
2000,Dec,2000.12,0.080722,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Beer containing between 1.151% and 2.500% alc
2000,Dec,2000.12,9.826562,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Beer containing between 2.501% and 4.350% alc
2000,Dec,2000.12,1.905008,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Beer containing between 4.351% and 5.000% alc
2000,Dec,2000.12,0.763027,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Beer containing more than 5.00% alcohol
2000,Dec,2000.12,12.575371,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total beer
2000,Jun,2000.06,12.931107,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total beer
2000,Mar,2000.03,12.813206,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total beer
2000,Sep,2000.09,12.847532,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total beer
2000,Jun,2000.06,1.45515,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Spirits containing not more than 23% alcohol
2000,Dec,2000.12,1.635498,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Spirits containing not more than 23% alcohol
2000,Jun,2000.06,1.45515,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Spirits containing not more than 23% alcohol
2000,Mar,2000.03,1.379009,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Spirits containing not more than 23% alcohol
2000,Sep,2000.09,1.540048,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Spirits containing not more than 23% alcohol
2000,Jun,2000.06,3.857301,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Spirits containing more than 23% alcohol
2000,Dec,2000.12,4.076172,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Spirits containing more than 23% alcohol
2000,Jun,2000.06,3.857301,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Spirits containing more than 23% alcohol
2000,Mar,2000.03,3.767098,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Spirits containing more than 23% alcohol
2000,Sep,2000.09,3.988693,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Spirits containing more than 23% alcohol
2000,Jun,2000.06,5.312451,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total spirits
2000,Dec,2000.12,5.711671,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total spirits
2000,Jun,2000.06,5.312451,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total spirits
2000,Mar,2000.03,5.146107,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total spirits
2000,Sep,2000.09,5.528741,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total spirits
2000,Jun,2000.06,7.053377,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Grape wine containing not more than 14% alc.
2000,Dec,2000.12,7.064073,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Grape wine containing not more than 14% alc.
2000,Jun,2000.06,7.053377,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Grape wine containing not more than 14% alc.
2000,Mar,2000.03,6.990273,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Grape wine containing not more than 14% alc.
2000,Sep,2000.09,7.048725,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Grape wine containing not more than 14% alc.
2000,Jun,2000.06,0.392206,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Grape wine containing more than 14% alcohol
2000,Dec,2000.12,0.368597,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Grape wine containing more than 14% alcohol
2000,Jun,2000.06,0.392206,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Grape wine containing more than 14% alcohol
2000,Mar,2000.03,0.407841,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Grape wine containing more than 14% alcohol
2000,Sep,2000.09,0.376848,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Grape wine containing more than 14% alcohol
2000,Jun,2000.06,0.630846,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Other wine containing not more than 14% alc.
2000,Dec,2000.12,0.60263,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Other wine containing not more than 14% alc.
2000,Jun,2000.06,0.630846,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Other wine containing not more than 14% alc.
2000,Mar,2000.03,0.63632,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Other wine containing not more than 14% alc.
2000,Sep,2000.09,0.600624,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Other wine containing not more than 14% alc.
2000,Jun,2000.06,0.017685,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Other wine containing more than 14% alcohol
2000,Dec,2000.12,0.018423,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Other wine containing more than 14% alcohol
2000,Jun,2000.06,0.017685,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Other wine containing more than 14% alcohol
2000,Mar,2000.03,0.017098,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Other wine containing more than 14% alcohol
2000,Sep,2000.09,0.020369,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Other wine containing more than 14% alcohol
2000,Jun,2000.06,7.684224,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine containing not more than 14% alc.
2000,Dec,2000.12,7.666703,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine containing not more than 14% alc.
2000,Jun,2000.06,7.684224,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine containing not more than 14% alc.
2000,Mar,2000.03,7.626595,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine containing not more than 14% alc.
2000,Sep,2000.09,7.64935,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine containing not more than 14% alc.
2000,Jun,2000.06,0.409891,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine containing more than 14% alcohol
2000,Dec,2000.12,0.38702,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine containing more than 14% alcohol
2000,Jun,2000.06,0.409891,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine containing more than 14% alcohol
2000,Mar,2000.03,0.424939,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine containing more than 14% alcohol
2000,Sep,2000.09,0.397217,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine containing more than 14% alcohol
2000,Jun,2000.06,8.094114,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine
2000,Dec,2000.12,8.053722,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine
2000,Jun,2000.06,8.094114,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine
2000,Mar,2000.03,8.051533,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine
2000,Sep,2000.09,8.046567,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total wine
2000,Jun,2000.06,26.337673,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total all beverages
2000,Dec,2000.12,26.340764,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total all beverages
2000,Jun,2000.06,26.337673,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total all beverages
2000,Mar,2000.03,26.010846,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total all beverages
2000,Sep,2000.09,26.42284,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Alcohol,Total all beverages
2000,Jun,2000.06,418.504597,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total all beverages
2000,Dec,2000.12,411.672451,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total all beverages
2000,Mar,2000.03,414.025177,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total all beverages
2000,Sep,2000.09,417.454903,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total all beverages
2000,Mar,2000.03,0,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing not more than 1.150% alcohol
2000,Jun,2000.06,0,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing not more than 1.150% alcohol
2000,Sep,2000.09,0.003427,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing not more than 1.150% alcohol
2000,Dec,2000.12,0.000936,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing not more than 1.150% alcohol
2000,Mar,2000.03,1.10522456,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 1.151% and 2.500% alc
2000,Jun,2000.06,0.90320764,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 1.151% and 2.500% alc
2000,Sep,2000.09,0.96391308,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 1.151% and 2.500% alc
2000,Dec,2000.12,1.45078025,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 1.151% and 2.500% alc
2000,Mar,2000.03,58.47305993,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 2.501% and 4.350% alc
2000,Jun,2000.06,56.10420568,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 2.501% and 4.350% alc
2000,Sep,2000.09,54.80839475,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 2.501% and 4.350% alc
2000,Dec,2000.12,76.27839815,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 2.501% and 4.350% alc
2000,Mar,2000.03,9.436765312,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 4.351% and 5.000% alc
2000,Jun,2000.06,8.383069877,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 4.351% and 5.000% alc
2000,Sep,2000.09,8.873755725,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 4.351% and 5.000% alc
2000,Dec,2000.12,13.94661177,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing between 4.351% and 5.000% alc
2000,Mar,2000.03,3.03946783,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing more than 5.00% alcohol
2000,Jun,2000.06,3.29661627,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing more than 5.00% alcohol
2000,Sep,2000.09,3.35357356,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing more than 5.00% alcohol
2000,Dec,2000.12,5.18937353,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Beer containing more than 5.00% alcohol
2000,Mar,2000.03,72.054518,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total beer
2000,Jun,2000.06,68.687099,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total beer
2000,Sep,2000.09,68.003064,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total beer
2000,Dec,2000.12,96.8661,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total beer
2000,Mar,2000.03,1.923677,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits (proof litres)
2000,Jun,2000.06,2.294434,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits (proof litres)
2000,Sep,2000.09,2.621672,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits (proof litres)
2000,Dec,2000.12,3.172775,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits (proof litres)
2000,Mar,2000.03,4.694061,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing not more than 23% alcohol
2000,Jun,2000.06,5.22858,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing not more than 23% alcohol
2000,Sep,2000.09,6.401729,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing not more than 23% alcohol
2000,Dec,2000.12,8.184725,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing not more than 23% alcohol
2000,Mar,2000.03,1.858481,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing more than 23% alcohol
2000,Jun,2000.06,2.279475,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing more than 23% alcohol
2000,Sep,2000.09,2.560711,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing more than 23% alcohol
2000,Dec,2000.12,3.006505,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Spirits containing more than 23% alcohol
2000,Mar,2000.03,6.552542,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits
2000,Jun,2000.06,7.508055,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits
2000,Sep,2000.09,8.96244,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits
2000,Dec,2000.12,11.19123,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total spirits
2000,Mar,2000.03,11.718281,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Grape wine containing not more than 14% alc.
2000,Jun,2000.06,15.178537,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Grape wine containing not more than 14% alc.
2000,Sep,2000.09,14.80008,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Grape wine containing not more than 14% alc.
2000,Dec,2000.12,22.521943,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Grape wine containing not more than 14% alc.
2000,Mar,2000.03,0.370461,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Grape wine containing more than 14% alcohol
2000,Jun,2000.06,0.511549,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Grape wine containing more than 14% alcohol
2000,Sep,2000.09,0.53659,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Grape wine containing more than 14% alcohol
2000,Dec,2000.12,0.629159,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Grape wine containing more than 14% alcohol
2000,Mar,2000.03,1.159376,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Other wine containing not more than 14% alc.
2000,Jun,2000.06,1.343907,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Other wine containing not more than 14% alc.
2000,Sep,2000.09,1.035919,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Other wine containing not more than 14% alc.
2000,Dec,2000.12,1.939253,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Other wine containing not more than 14% alc.
2000,Mar,2000.03,0.015626,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Other wine containing more than 14% alcohol
2000,Jun,2000.06,0.029961,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Other wine containing more than 14% alcohol
2000,Sep,2000.09,0.032145,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Other wine containing more than 14% alcohol
2000,Dec,2000.12,0.024617,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Other wine containing more than 14% alcohol
2000,Mar,2000.03,12.877657,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine containing not more than 14% alc.
2000,Jun,2000.06,16.522444,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine containing not more than 14% alc.
2000,Sep,2000.09,15.835999,FINAL,Litres,Alcohol Available for Consumption - ALC,Litres of Beverage,Total wine containing not more than 14% alc.
